id,date,title,type,link,language,author,keywords,description,other
93,2017-09-14,ASIC Monopoly Fallacy,article,https://github.com/libbitcoin/libbitcoin-system/wiki/ASIC-Monopoly-Fallacy,en,Eric Voskuil,"asic, mining","There is a theory that Bitcoin ASIC price is controlled by a cartel of miners, creating a disproportionate advantage to mining partners of the cartel.",
94,2020-08-09,Are Chinese Miners a Threat to Bitcoin?,article,https://blog.lopp.net/are-chinese-miners-threat-bitcoin/,en,Jameson Lopp,"mining, China",Is the concentration of hashpower within the borders of China a cause for concern about a nation state attack against the network?,
95,2020-09-17,What is Crypto Decentralization and Why Bitcoin Stands Alone,article,https://tonevays.com/blog/what-is-crypto-decentralization-and-why-bitcoin-stands-alone,en,Tone Vays,"decentralization, development, mining","Many people think that they can just wave a magic wand and suddenly their crypto currency project is decentralized. In reality, nothing can be further from the truth because decentralization is almost impossible. Bitcoin might still be the only crypto project to claim this feat, and even then, the proper way to describe it is ""Sufficiently Decentralized"", as the future is always uncertain. This article will attempt to explain why Bitcoin is sufficiently decentralized and why other crypto projects fall short.",
96,2018-12-15,Who Controls Bitcoin Core?,article,https://blog.lopp.net/who-controls-bitcoin-core-/,en,Jameson Lopp,"decentralization, development",Understanding how the focal point of Bitcoin development operates,
97,2015-09-09,Measuring Decentralization,article,https://www.truthcoin.info/blog/measuring-decentralization/,en,Paul Sztorc,"decentralization, money",Bitcoin’s Decentralization increases as a full node becomes cheaper.,
98,2018-06-02,Bitcoin Miners Beware: Invalid Blocks Need Not Apply,article,https://medium.com/hackernoon/bitcoin-miners-beware-invalid-blocks-need-not-apply-51c293ee278b,en,StopAndDecrypt,"network, validation",Bitcoin is an impenetrable fortress of validation,
99,2019-08-11,Bitcoin Cannot Be Banned,article,https://nakamotoinstitute.org/mempool/bitcoin-cannot-be-banned/,en,Parker Lewis,government,"The idea that somehow bitcoin can be banned by governments is the final stage of grief, right before acceptance. The consequence of the statement is an admission that bitcoin works. In fact, it posits that bitcoin works so well that it will threaten the incumbent government-run monopolies on money in which case governments will regulate it out of existence to eliminate the threat. ",
100,2014-04-07,Speculative Attack,article,https://nakamotoinstitute.org/mempool/speculative-attack/,en,Pierre Rochard,government,"A few of the criticisms mentioned earlier are correct, yet they are complete non sequiturs. Bitcoin will not be eagerly adopted by the mainstream, it will be forced upon them. Forced, as in ""compelled by economic reality"". People will be forced to pay with bitcoins, not because of 'the technology', but because no one will accept their worthless fiat for payments. ",
101,2019-07-09,A most peaceful revolution,article,https://medium.com/@nic__carter/a-most-peaceful-revolution-8b63b64c203e,en,Nic Carter,government,"Make no mistake, Bitcoiners are revolutionaries. Libertarians had it all wrong. They sought to shrink the State's influence by participating in the democratic process. This has been and remains a hopeless, Sisyphean task.",
102,,Critique #2: The Government Will Shut Bitcoin Down,article,https://casebitcoin.com/critiques/gov-will-shut-it-down,en,Case Bitcoin,government,Rebuttal to the critique that governments won't simply allow a non-state money to keep growing. Control over money is too central to a government's survival for them to allow this,
103,2021-02-21,Can Governments Stop Bitcoin?,article,https://quillette.com/2021/02/21/can-governments-stop-bitcoin/,en,Alex Gladstein,government,"This worldwide success doesn�t mean that people haven�t tried to stop Bitcoin. The digital money project has in fact survived a variety of attacks which in some cases threatened its existence. There are two main vectors: network attacks on the software and hardware infrastructure, and legal attacks on Bitcoin users. Before we explore them and consider why they failed, let�s start at the beginning.",
104,,Bitcoin: Fee-Based Security Modeling,article,https://www.lynalden.com/bitcoin-security-modeling/,en,Lyn Alden,security,"Over the past decade, the bitcoin network has been the most secure public blockchain. This is because it has by far the highest market capitalization and hash rate in the asset class, along with customized hardware required to mine it, meaning that the cost for a potential attacker to try to control 51% of the hash rate for a lengthy period of time (which would allow for double-spending attacks and other security disruptions) is quite high.",
105,2020-12-06,Bitcoin is Antifragile,article,https://unchained-capital.com/blog/bitcoin-is-antifragile/,en,Parker Lewis,security,"Part of the series ""Gradually, then suddenly""",
106,2019-09-27,Bitcoin is Not Backed by Nothing,article,https://nakamotoinstitute.org/mempool/bitcoin-is-not-backed-by-nothing/,en,Parker Lewis,"not-backed-by-anything, money","Part of the series ""Gradually, then suddenly""",
107,2019-07-14,BetterHash: Decentralizing Bitcoin Mining With New Hashing Protocols,article,https://medium.com/hackernoon/betterhash-decentralizing-bitcoin-mining-with-new-hashing-protocols-291de178e3e0,en,StopAndDecrypt,"mining, decentralization","BetterHash is the working name for alternative mining protocols currently in development. When it's completed there will need to be enough miners willing to switch to a new mining pool using these protocols, or an existing pool that is willing to service both the old and new protocols while miners gradually ready themselves to switch over. In either circumstance the initial switch will need to be supported by enough miners to make doing so profitable, else profit volatility would be too high. Ultimately miners will need to understand why they should switch, and there will need to be forward thinking pool operators who don�t want the control current pools have. This can only happen if the problems and risks with the current system are properly understood and conveyed.",
108,,Critique #12: China Controls Bitcoin,article,https://casebitcoin.com/critiques/china-controls-bitcoin,en,Case Bitcoin,"china, mining","Rebuttal to the critique that more than half of bitcoin mining takes place in China, therefore, China can seize control of the Bitcoin network at any time.",
109,2020-02-12,The Fraying of the US Global Currency Reserve System,article,https://www.lynalden.com/fraying-petrodollar-system/,en,Lyn Alden,"petrodollar, money","Since autumn of 2019, I've been bearish on the dollar, meaning I have a longish-term outlook towards a weaker dollar. This view began forming when the Federal Reserve cut interest rates in summer 2019, and then the view solidified with a catalyst after an overnight repo rate spike in September 2019 forced the Fed to begin supplying repo liquidity.",
110,,Shelling Out: The Origins of Money,article,https://nakamotoinstitute.org/shelling-out/,en,Nick Szabo,"history, money","The precursors of money, along with language, enabled early modern humans to solve problems of cooperation that other animals cannot including problems of reciprocal altruism, kin altruism, and the mitigation of aggression. These precursors shared with non-fiat currencies very specific characteristics they were not merely symbolic or decorative objects.",
111,2013-08-01,What effects would a scalable Quantum Computer have on Bitcoin?,article,https://bitcoin.stackexchange.com/questions/6062/what-effects-would-a-scalable-quantum-computer-have-on-bitcoin,en,,quantum,"A scalable quantum computer is a quantum computer that is easy to extend - adding more (q)bits of memory is not a fundamentally hard problem, and will happen. Or, alternatively, that it follows Moore's Law - its memory capacity and speed will increase exponentially over the years with technological advancement (the exponent might be relatively low). Suppose such a Quantum Computer were constructed tomorrow - what would this mean for bitcoin?",
112,2017-10-28,"Quantum attacks on Bitcoin, and how to protect against them",article,https://arxiv.org/abs/1710.10377,en,"Divesh Aggarwal, Gavin K. Brennen, Troy Lee, Miklos Santha, Marco Tomamichel",quantum,"The key cryptographic protocols used to secure the internet and financial transactions of today are all susceptible to attack by the development of a sufficiently large quantum computer. One particular area at risk are cryptocurrencies, a market currently worth over 150 billion USD. We investigate the risk of Bitcoin, and other cryptocurrencies, to attacks by quantum computers. We find that the proof-of-work used by Bitcoin is relatively resistant to substantial speedup by quantum computers in the next 10 years, mainly because specialized ASIC miners are extremely fast compared to the estimated clock speed of near-term quantum computers. On the other hand, the elliptic curve signature scheme used by Bitcoin is much more at risk, and could be completely broken by a quantum computer as early as 2027, by the most optimistic estimates. We analyze an alternative proof-of-work called Momentum, based on finding collisions in a hash function, that is even more resistant to speedup by a quantum computer. We also review the available post-quantum signature schemes to see which one would best meet the security and efficiency requirements of blockchain applications. ",
113,2020-12-21,Here's Why Quantum Computing Will Not Break Cryptocurrencies,article,https://www.forbes.com/sites/rogerhuang/2020/12/21/heres-why-quantum-computing-will-not-break-cryptocurrencies/?sh=24a95b3c167b,en,Roger Huang,quantum,There's a lurking fear in cryptocurrency communities about quantum computing. Could it break cryptocurrencies and the encryption that protects them? How close might that be? Do the headlines around 'quantum supremacy' mean that my private keys are at risk? ,
114,,Critique #10: Bitcoin Gets Hacked,article,https://casebitcoin.com/critiques/bitcoin-gets-hacked,en,Case Bitcoin,hacked,Rebuttal to the critique that there are news reports all the time about bitcoin getting hacked. Bitcoin must not be secure,
115,,We Study Billionaires - The Investor's Podcast Network,podcast,https://podcasts.apple.com/us/podcast/we-study-billionaires-the-investors-podcast-network/id928933489,en,Preston Pysh,"investment, economics","We interview and study famous financial billionaires including Warren Buffett and Howard Marks, and teach you what we learn and how you can apply their investment strategies in the stock market.",
116,,What Bitcoin Did,podcast,https://www.whatbitcoindid.com/,en,Peter McCormack,"investment, economics","The What Bitcoin Did Podcast is a twice-weekly show where Peter McCormack interviews experts in the world of Bitcoin development, privacy, investment and adoption.",
117,,On the brink,podcast,https://onthebrink-podcast.com/,en,"Matthew Walsh, Nic Carter",blockchain,"Interviews, News and Perspectives about the Blockchain Industry",
118,,The Pomp Podcast,podcast,https://www.anthonypompliano.com/podcast,en,Anthony Pompliano,"business, investment","Host Anthony 'Pomp' Pompliano talks to the most interesting people in business, finance, and Bitcoin. From billionaires to cultural icons, Pomp helps you get smarter every day.",
119,,Bitcoin Rapid-Fire,podcast,https://anchor.fm/john-vallis/,en,John Vallis,,"Bitcoin is the future of money, that is my firm belief. In this show, I speak with the amazing people who are building and contributing to this revolutionary new industry. The 'rapid-fire' episodes give you some concise info and insights, the 'further discussion' episodes let you listen in on a more casual and open dialogue with each guest. ",
120,,Once BITten,podcast,https://anchor.fm/daniel-prince6/,en,Daniel Prince,,"Bitcoin can be a very deep and confusing rabbit hole to fall into. This podcast is for people who are looking for answers. Daniel Prince, author of Choose Life, is on a mission to share real life stories of how Bitcoin has changed and shaped individuals and families lives forever.",
121,,Swan Signal Blog,collection,https://www.swanbitcoin.com/signal/,en,Swan Bitcoin,,This blog offers thoughts and opinions on Bitcoin from the Swan Bitcoin team and friends.,
122,,Swan Signal Podcast,podcast,https://podcasts.apple.com/us/podcast/swan-signal-a-bitcoin-podcast/id1503581478,en,Swan Bitcoin,,"Swan Signal pairs up great Bitcoiners for compelling discussions that are unique on the Bitcoin content scene. Every week we broadcast Swan Signal Live Twitter, YouTube, Facebook, and Twitch. Then we publish the audio here. Enjoy!",
123,,Fun with Bitcoin,podcast,https://www.funwithbitcoin.com/Podcast,en,Coinicarus,,We talk Bitcoin ONLY!,
124,,Tales from the Crypt: A Bitcoin Podcast,podcast,https://talesfromthecrypt.libsyn.com/,en,Marty Bent,,"Tales from the Crypt is a podcast hosted by Marty Bent about Bitcoin. Join Marty, Editor in Chief of ""the best newsletter in Bitcoin"", as he sits down to discuss Bitcoin with interesting people.",
125,,The Bitcoin Standard Podcast,podcast,https://the-bitcoin-standard-podcast.castos.com/,en,Saifedean Ammous,"austrian, economics","Saifedean's The Bitcoin Standard Podcast is the place to discuss Bitcoin and economics from the Austrian school's perspective. Listen to the weekly saifedean.com discussion seminar, where a group of learners from all over the world discuss the website's online courses, as well as a wide variety of economic, political, and social issues, and occasionally host special guests for the discussion. The podcast also includes the most interesting interviews conducted with Saifedean on other shows.",
126,,Stephan Livera's Podcast,podcast,https://stephanlivera.com/,en,Stephan Livera,"austrian, economics","SLP is focused on educational interviews about the economics and technology of Bitcoin. Stephan has interviewed many high profile Bitcoin, Libertarian, Austrian economics and Macro guests ",
127,,Bitcoin Fixes This,podcast,https://anchor.fm/jimmysong/,en,Jimmy Song,,We explore the impact that Bitcoin will have in all aspects of society,
128,,The Bitcoin Matrix,podcast,https://podcasts.apple.com/us/podcast/the-bitcoin-matrix/id1534519469,en,Cedric Youngelman,,"Explore the idea of money through Bitcoin with experts, thought leaders and plebs.",
129,,Bitcoin Audible,podcast,https://bitcoinaudible.com/,en,Guy Swann,,"The Best in Bitcoin made Audible. Guy Swann makes the knowledge of Bitcoin, the world's most secure, independent money, accessible to everyone. Exploring Bitcoin from an investment perspective, economic analysis, its philosophical foundations, & technological primitives. Reading and distilling thousands of hours of others' works on Bitcoin, Guy explains everything you need to know.",
130,,The Human Action Podcast,podcast,https://mises.org/library/human-action-podcast,en,Jeff Deist,"austrian, economics",The Human Action Podcast features in-depth interviews on current topics in economics through an Austro-libertarian lens.,
